Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
FL-111,St. Lucie County,47.41,36,-5.56,52.97
FL-113,Santa Rosa County,72.17,109,9.87,62.3
FL-115,Sarasota County,60.86,108,8.63,52.23
FL-117,Seminole County,53.32,83,2.59,50.73
FL-119,Sumter County,58.84,106,6.32,52.52
FL-121,Suwannee County,66.97,119,13.72,53.25
FL-123,Taylor County,78.18,124,22.47,55.71
FL-125,Union County,58.31,105,6.5,51.81
FL-127,Volusia County,57.38,99,6.29,51.09
FL-129,Wakulla County,75.03,119,16.66,58.37
FL-131,Walton County,76.46,120,16.08,60.38
FL-133,Washington County,74.69,121,17.14,57.55
GA-001,Appling County,47.99,68,-0.02,48.01
GA-003,Atkinson County,50.79,83,2,48.79
GA-005,Bacon County,45.04,50,-3.19,48.23
GA-007,Baker County,64.13,116,12.25,51.88
GA-009,Baldwin County,57.31,115,10.75,46.56
GA-011,Banks County,77.12,126,24.1,53.02
GA-013,Barrow County,73.31,125,22.51,50.8
GA-015,Bartow County,65.94,122,14.63,51.31
GA-017,Ben Hill County,58.49,115,10.92,47.57
GA-019,Berrien County,56.9,107,8.4,48.5
GA-021,Bibb County,56.15,110,9.64,46.51
GA-023,Bleckley County,62.27,122,15.25,47.02
GA-025,Brantley County,57.6,100,7.64,49.96
GA-027,Brooks County,62.74,113,10.71,52.03
GA-029,Bryan County,50.95,75,1.93,49.02
GA-031,Bulloch County,54.56,101,6.96,47.6
GA-033,Burke County,56.96,113,11.43,45.53
GA-035,Butts County,62.68,119,13.21,49.47
GA-037,Calhoun County,63.33,111,11.29,52.04
GA-039,Camden County,55.45,90,4.47,50.98
GA-043,Candler County,55.27,103,8.26,47.01
GA-045,Carroll County,76.52,125,22.88,53.64
GA-047,Catoosa County,70.15,123,17.14,53.01
GA-049,Charlton County,54.65,88,4.35,50.3
GA-051,Chatham County,47.48,60,-1.62,49.1
GA-053,Chattahoochee County,62.66,120,13.87,48.79
GA-055,Chattooga County,73.51,125,18.57,54.94
GA-057,Cherokee County,71.61,124,17.97,53.64
GA-059,Clarke County,71.47,125,21.45,50.02
GA-061,Clay County,63.82,113,11.44,52.38
GA-063,Clayton County,71.62,125,21.41,50.21
GA-065,Clinch County,54.7,92,4.86,49.84
GA-067,Cobb County,70.5,124,19.23,51.27
GA-069,Coffee County,51.66,90,3.44,48.22
GA-071,Colquitt County,59.87,112,9.57,50.3
GA-073,Columbia County,54.67,107,8.55,46.12
GA-075,Cook County,58.04,108,8.66,49.38
GA-077,Coweta County,70.51,125,19.09,51.42
GA-079,Crawford County,58.09,114,9.91,48.18
GA-081,Crisp County,65.74,124,18.68,47.06
GA-083,Dade County,72.32,123,18.13,54.19
GA-085,Dawson County,80.68,125,21.21,59.47
GA-087,Decatur County,70.75,122,17,53.75
GA-089,DeKalb County,72.57,124,21.93,50.64
GA-091,Dodge County,60.19,119,12.71,47.48
GA-093,Dooly County,63.39,121,16.14,47.25
GA-095,Dougherty County,62.05,116,12.51,49.54
GA-097,Douglas County,74.23,125,22.19,52.04
GA-099,Early County,66.82,119,13.59,53.23
GA-101,Echols County,62.16,114,11.2,50.96
GA-103,Effingham County,51.84,91,3.53,48.31
GA-105,Elbert County,61.18,118,12.67,48.51
GA-107,Emanuel County,56.78,112,10.35,46.43
GA-109,Evans County,52.49,94,4.91,47.58
GA-111,Fannin County,87.07,126,26.98,60.09
GA-113,Fayette County,69.86,125,19.63,50.23
GA-115,Floyd County,72.46,126,20.28,52.18
GA-117,Forsyth County,75.69,125,22,53.69
GA-119,Franklin County,65.15,122,14.72,50.43
GA-121,Fulton County,73.44,125,22.38,51.06
GA-123,Gilmer County,90.06,126,28.47,61.59
GA-125,Glascock County,56.49,110,9.55,46.94
GA-127,Glynn County,52.37,80,1.55,50.82
GA-129,Gordon County,73.5,126,20.61,52.89
GA-131,Grady County,71,121,17.03,53.97
GA-133,Greene County,60.17,118,12.07,48.1
GA-135,Gwinnett County,72.86,124,21.45,51.41
GA-137,Habersham County,92.01,126,28.23,63.78
GA-139,Hall County,77.81,125,23.04,54.77
GA-141,Hancock County,56.85,111,9.57,47.28
GA-143,Haralson County,75.17,126,21.85,53.32
GA-145,Harris County,65.98,120,14.49,51.49
GA-147,Hart County,61.92,116,12.66,49.26
GA-149,Heard County,69.97,123,16.86,53.11
GA-151,Henry County,68.11,123,18.01,50.1
GA-153,Houston County,61.6,120,14.42,47.18
GA-155,Irwin County,58.46,115,10.82,47.64
GA-157,Jackson County,73.74,125,23.07,50.67
GA-159,Jasper County,59.43,111,10.32,49.11
GA-161,Jeff Davis County,51.28,93,3.89,47.39
GA-163,Jefferson County,56.68,112,10.39,46.29
GA-165,Jenkins County,55.73,108,9.42,46.31
GA-167,Johnson County,58.04,113,11.6,46.44
GA-169,Jones County,56.92,113,9.78,47.14
GA-171,Lamar County,63.97,122,13.96,50.01
GA-173,Lanier County,56.61,98,6.96,49.65
GA-175,Laurens County,60.98,120,14.22,46.76
GA-177,Lee County,64.08,123,15.3,48.78
GA-179,Liberty County,51.82,79,2.55,49.27
GA-181,Lincoln County,53.73,98,6.49,47.24
GA-183,Long County,52.67,86,3.65,49.02
GA-185,Lowndes County,62.28,116,11.36,50.92
GA-187,Lumpkin County,88.29,126,25.51,62.78
GA-189,McDuffie County,53.85,104,6.81,47.04
GA-191,McIntosh County,51.88,79,1.54,50.34
GA-193,Macon County,58.83,111,10.64,48.19
GA-195,Madison County,68.78,125,19.01,49.77
GA-197,Marion County,62.22,118,12.64,49.58
GA-199,Meriwether County,68.19,124,16.93,51.26
GA-201,Miller County,68.69,121,15.3,53.39
GA-205,Mitchell County,63.25,117,12.36,50.89
GA-207,Monroe County,58.53,115,9.93,48.6
GA-209,Montgomery County,59.32,117,12.8,46.52
GA-211,Morgan County,63.52,122,14.3,49.22
GA-213,Murray County,88.59,126,32.3,56.29
GA-215,Muscogee County,63.15,118,13.41,49.74
GA-217,Newton County,64.4,120,14.28,50.12
GA-219,Oconee County,71.11,125,21.15,49.96
GA-221,Oglethorpe County,62.61,120,13.85,48.76
GA-223,Paulding County,67.13,122,15.6,51.53
GA-225,Peach County,58.71,115,11.34,47.37
GA-227,Pickens County,78.54,125,20.87,57.67
GA-229,Pierce County,51.15,84,2.35,48.8
GA-231,Pike County,67.13,124,16.74,50.39
GA-233,Polk County,69.96,125,18.7,51.26
GA-235,Pulaski County,64.38,123,17.42,46.96
GA-237,Putnam County,57.79,113,10.03,47.76
GA-239,Quitman County,62.87,112,12.12,50.75
GA-241,Rabun County,97.51,126,28.07,69.44
GA-243,Randolph County,63.13,114,11.87,51.26
GA-245,Richmond County,57.29,117,12.31,44.98
GA-247,Rockdale County,68.95,124,18.43,50.52
GA-249,Schley County,60.87,115,11.72,49.15
GA-251,Screven County,55.61,107,8.94,46.67
GA-253,Seminole County,71.51,124,17.95,53.56
GA-255,Spalding County,67.18,121,17.32,49.86
GA-257,Stephens County,75.65,124,19.74,55.91
GA-259,Stewart County,62.27,118,12.98,49.29
GA-261,Sumter County,62.78,120,14.07,48.71
GA-263,Talbot County,64.06,118,13.33,50.73
GA-265,Taliaferro County,53.99,100,5.91,48.08
GA-267,Tattnall County,51.78,92,4.21,47.57
GA-269,Taylor County,59.89,112,10.57,49.32
GA-271,Telfair County,57.69,113,10.29,47.4
GA-273,Terrell County,63.61,120,13.37,50.24
GA-275,Thomas County,67.4,119,14.22,53.18
GA-277,Tift County,59.88,119,11.66,48.22
GA-279,Toombs County,54.22,102,7.27,46.95
GA-281,Towns County,92.7,126,29.7,63
GA-283,Treutlen County,61.21,121,14.69,46.52
GA-285,Troup County,67.37,122,15.45,51.92
GA-287,Turner County,63.42,122,15.66,47.76
GA-289,Twiggs County,59.74,116,13.07,46.67
GA-291,Union County,89.49,126,28.52,60.97
GA-293,Upson County,64.23,121,14,50.23
GA-295,Walker County,65.43,113,11.52,53.91
GA-297,Walton County,70.24,125,19.6,50.64
GA-299,Ware County,49.72,73,0.57,49.15
GA-301,Warren County,54.41,104,6.9,47.51
GA-303,Washington County,57.15,112,10.73,46.42
GA-305,Wayne County,53.78,91,4.28,49.5
GA-307,Webster County,63.03,119,13.34,49.69
GA-309,Wheeler County,60.29,118,13.56,46.73
GA-311,White County,95.73,126,31.64,64.09
GA-313,Whitfield County,76.12,126,22.43,53.69
GA-315,Wilcox County,62.85,120,15.57,47.28
GA-317,Wilkes County,54.13,98,6.04,48.09
GA-319,Wilkinson County,57.92,116,11.55,46.37
GA-321,Worth County,62.1,121,13.68,48.42
ID-001,Ada County,9.67,19,-2.65,12.32
