Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
MD-001,Allegany County,42.5,120,2.8,39.7
MD-003,Anne Arundel County,49.3,124,3.7,45.6
MD-005,Baltimore County,46.2,123,3.7,42.5
MD-009,Calvert County,49.3,124,3.6,45.7
MD-011,Caroline County,47.4,122,3.5,43.9
MD-013,Carroll County,44.6,121,3.5,41.1
MD-015,Cecil County,47.2,124,3.7,43.5
MD-017,Charles County,49.3,124,4.1,45.2
MD-019,Dorchester County,49.2,123,3.6,45.6
MD-021,Frederick County,45.3,120,3.2,42.1
MD-023,Garrett County,40.1,123,3.6,36.5
MD-025,Harford County,46.7,124,3.7,43
MD-027,Howard County,46.1,122,3.7,42.4
MD-029,Kent County,47.9,121,3.3,44.6
MD-031,Montgomery County,47,122,3.7,43.3
MD-033,Prince George's County,48.4,125,3.9,44.5
MD-035,Queen Anne's County,47.8,121,3.3,44.5
MD-037,St. Mary's County,49.6,124,3.5,46.1
MD-039,Somerset County,50.7,126,4,46.7
MD-041,Talbot County,48.8,121,2.9,45.9
MD-043,Washington County,44.2,120,3,41.2
MD-045,Wicomico County,49.2,126,4.1,45.1
MD-047,Worcester County,50.7,126,4.5,46.2
MD-510,Baltimore City,48.8,124,3.7,45.1
MD-511,"Washington, D.C.",48.8,124,3.8,45
MA-001,Barnstable County,43.8,116,2.7,41.1
MA-003,Berkshire County,35.9,116,2.4,33.5
MA-005,Bristol County,42.2,118,2.9,39.3
MA-007,Dukes County,43.6,109,2.2,41.4
MA-009,Essex County,39.9,112,2,37.9
MA-011,Franklin County,37.1,118,3,34.1
MA-013,Hampden County,38.5,117,2.6,35.9
MA-015,Hampshire County,37.7,115,2.5,35.2
MA-017,Middlesex County,39.5,117,2.6,36.9
MA-019,Nantucket County,44.3,116,2.6,41.7
MA-021,Norfolk County,41,118,3,38
MA-023,Plymouth County,42.1,117,2.8,39.3
MA-025,Suffolk County,42,117,2.7,39.3
MA-027,Worcester County,38.2,116,2.6,35.6
MI-001,Alcona County,34.1,103,2,32.1
MI-003,Alger County,31.3,84,0.9,30.4
MI-005,Allegan County,40.7,118,3.1,37.6
MI-007,Alpena County,34.2,105,2.2,32
MI-009,Antrim County,34.7,104,2,32.7
MI-011,Arenac County,37.5,114,3.4,34.1
MI-013,Baraga County,29.2,95,1.3,27.9
MI-015,Barry County,39.7,118,3.2,36.5
MI-017,Bay County,39.3,114,3.5,35.8
MI-019,Benzie County,35.9,105,2.1,33.8
MI-021,Berrien County,41.1,111,2.3,38.8
MI-023,Branch County,39.8,113,2.3,37.5
MI-025,Calhoun County,40.2,122,3.4,36.8
MI-027,Cass County,40.3,115,2.7,37.6
MI-029,Charlevoix County,34.6,104,1.8,32.8
MI-031,Cheboygan County,33.2,103,1.6,31.6
MI-033,Chippewa County,31.3,94,1.4,29.9
MI-035,Clare County,35,107,2.4,32.6
MI-037,Clinton County,39.3,112,2.7,36.6
MI-039,Crawford County,33.1,105,2.1,31
MI-041,Delta County,31.8,84,0.7,31.1
MI-043,Dickinson County,29.4,95,1.4,28
MI-045,Eaton County,39.5,117,3,36.5
MI-047,Emmet County,34.2,105,1.9,32.3
MI-049,Genesee County,39.2,115,3.1,36.1
MI-051,Gladwin County,36.6,110,3,33.6
MI-053,Gogebic County,28.6,91,1,27.6
MI-055,Grand Traverse County,35.3,107,2.5,32.8
MI-057,Gratiot County,38.8,112,2.8,36
MI-059,Hillsdale County,39.8,117,2.8,37
MI-061,Houghton County,30.4,100,1.5,28.9
