Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
PA-069,Lackawanna County,56.7,95,1.1,55.6
PA-071,Lancaster County,63.9,113,2.3,61.6
PA-073,Lawrence County,60.6,88,1,59.6
PA-075,Lebanon County,62.7,116,2.5,60.2
PA-077,Lehigh County,63.8,118,2.9,60.9
PA-079,Luzerne County,57.3,92,0.8,56.5
PA-081,Lycoming County,58.8,95,1.1,57.7
PA-083,McKean County,57.5,113,2.1,55.4
PA-085,Mercer County,59.8,110,2.1,57.7
PA-087,Mifflin County,61.3,101,1.2,60.1
PA-089,Monroe County,58.2,108,1.8,56.4
PA-091,Montgomery County,65.2,121,3.3,61.9
PA-093,Montour County,60.7,100,1.3,59.4
PA-095,Northampton County,62.8,114,2.8,60
PA-097,Northumberland County,60.6,100,1.4,59.2
PA-099,Perry County,62.7,118,2.4,60.3
PA-101,Philadelphia County,66.5,123,3.8,62.7
PA-103,Pike County,58.2,109,2,56.2
PA-105,Potter County,56.7,88,0.7,56
PA-107,Schuylkill County,59.9,108,1.8,58.1
PA-109,Snyder County,61,102,1.3,59.7
PA-111,Somerset County,59.8,120,2.5,57.3
PA-113,Sullivan County,55.4,99,1.2,54.2
PA-115,Susquehanna County,57.1,99,1.3,55.8
PA-117,Tioga County,57,89,0.9,56.1
PA-119,Union County,60.3,98,1.2,59.1
PA-121,Venango County,59.7,112,2.3,57.4
PA-123,Warren County,58,112,2.2,55.8
